feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
91345.75551055222,0.0,73.0,0.0,3.0,3.0,808351.0432704752,20.0,322947.0565333281,1
71062.02349310787,72705.9072653033,28.0,1.0,19.0,0.0,1199357.8609931443,16.0,435006.0741234096,0
147220.38449025934,0.0,44.0,1.0,19.0,3.0,707327.7180713762,8.0,319960.51066376193,1
62138.33101311783,21225.61503877624,60.0,4.0,17.0,4.0,590910.1495517417,27.0,306531.7289420662,0
137305.31581261795,0.0,59.0,1.0,3.0,6.0,351191.3608854478,15.0,179076.0834847625,1
117589.19835839931,0.0,55.0,4.0,10.0,4.0,567137.0289786675,7.0,51022.40537401404,0
47153.97829232851,22098.21384137472,56.0,4.0,8.0,4.0,372212.7960008014,24.0,169003.80741944586,1
78650.69788772066,0.0,20.0,2.0,18.0,7.0,196178.70616723257,26.0,158991.589696988,0
30804.62404197831,30828.892096077434,60.0,3.0,2.0,3.0,688304.4841125333,23.0,144703.04647360055,1
57501.93681630873,42496.6046486533,28.0,3.0,8.0,2.0,797244.7533619191,4.0,476374.5057584925,0
100342.0057698494,0.0,38.0,0.0,15.0,6.0,320989.4732103794,26.0,275908.1295666294,1
53844.320586362606,50276.689103183475,63.0,0.0,11.0,8.0,85231.1661200533,23.0,499423.50328393327,0
39428.27960553919,75109.45430261607,22.0,3.0,19.0,7.0,255810.20392180714,15.0,403659.4793625054,1
93983.09601989713,0.0,55.0,1.0,9.0,7.0,190708.53653561376,27.0,25294.057527118606,0
43333.73391932124,22823.99490123486,54.0,0.0,8.0,1.0,1026915.3962415106,4.0,310739.20074988174,1
95039.71651854178,0.0,56.0,0.0,3.0,7.0,235818.1231254828,19.0,294954.9881772855,0
114915.86383718005,0.0,38.0,1.0,2.0,5.0,287499.7494947087,13.0,369775.3975246438,1
83759.64512028372,0.0,47.0,3.0,17.0,6.0,414301.3686605025,29.0,188875.91964624045,0
43348.478082752525,11850.904629349841,41.0,1.0,18.0,0.0,1059373.4166243768,29.0,448335.646520171,1
60780.01102604386,81808.81417442152,42.0,3.0,19.0,7.0,184937.09375030125,14.0,323132.2186573424,0
47934.49577757516,23984.36646170039,31.0,4.0,7.0,4.0,337454.4371547538,28.0,198029.85140364687,1
