feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
69847.3974473511,69379.37785619983,43.0,0.0,17.0,5.0,534431.505414951,9.0,43564.64985077035,1
117589.19835839931,0.0,55.0,4.0,10.0,4.0,567137.0289786675,7.0,51022.40537401404,0
143444.2369485965,0.0,51.0,0.0,17.0,2.0,821561.7415850526,17.0,488229.7325066979,1
73854.18928690709,14811.062226158827,38.0,3.0,17.0,2.0,716273.6374266897,10.0,460578.8051185999,0
129504.47035680503,0.0,36.0,0.0,0.0,6.0,204957.40860213505,11.0,276410.7399437857,1
94050.39277002987,0.0,50.0,2.0,11.0,0.0,673877.8291679622,20.0,198049.13771168113,0
100342.0057698494,0.0,38.0,0.0,15.0,6.0,320989.4732103794,26.0,275908.1295666294,1
78960.54874814895,0.0,46.0,2.0,12.0,3.0,885312.9030017315,11.0,115371.16770339783,0
142735.56761928328,0.0,28.0,1.0,17.0,0.0,900023.6679563712,28.0,288614.2943020838,1
89632.26439324458,0.0,50.0,1.0,1.0,2.0,737969.7045591082,21.0,104921.87448756107,0
43348.478082752525,11850.904629349841,41.0,1.0,18.0,0.0,1059373.4166243768,29.0,448335.646520171,1
54231.90897582958,11548.82495992965,72.0,3.0,19.0,8.0,114578.4598501899,30.0,415524.22761809523,0
123746.08840863328,0.0,37.0,0.0,0.0,4.0,723685.2952444621,11.0,440148.8015575023,1
124985.43495164237,0.0,59.0,4.0,13.0,4.0,337454.4371547538,28.0,198029.85140364687,0
134253.0664310712,0.0,43.0,0.0,4.0,4.0,493079.7801555988,24.0,437143.9833124735,1
75669.09817513305,0.0,40.0,0.0,3.0,1.0,478275.58759522723,5.0,284605.38004681276,0
21485.569621254035,67793.55613770822,32.0,4.0,1.0,1.0,941929.4635775554,25.0,122683.60492642238,1
114515.75415247267,0.0,53.0,4.0,4.0,0.0,878829.4804948476,20.0,131059.07461983913,0
130145.79192595916,0.0,47.0,3.0,9.0,3.0,652559.7811178335,6.0,446024.8290406644,1
50272.51124052738,47757.05709549644,50.0,1.0,6.0,5.0,580749.7907330944,8.0,431511.308330175,0
32279.52883956429,57520.59172751434,49.0,2.0,14.0,2.0,859387.4401921541,1.0,16652.313273348096,1
83833.21631709454,0.0,71.0,2.0,8.0,5.0,218263.85679559136,23.0,81477.21302330268,0
140245.69855391496,0.0,44.0,3.0,5.0,8.0,84851.93694925633,18.0,128616.74273569668,1
35737.78434814111,28115.926487047243,72.0,1.0,17.0,6.0,356930.4795233251,1.0,458363.50966509094,0
117599.43204522575,0.0,62.0,1.0,16.0,2.0,846350.4794955913,24.0,146397.01572025943,1
98535.31452271466,0.0,80.0,4.0,4.0,8.0,64847.808772497185,8.0,448380.5791122049,0
136332.21498315153,0.0,38.0,3.0,12.0,3.0,497725.6264872495,1.0,431159.2734179512,1
64420.75493241518,60718.18617080971,32.0,1.0,10.0,6.0,159070.57740179478,7.0,149821.74712376334,0
47267.49345523256,18677.742499532025,41.0,0.0,18.0,5.0,458878.66155761434,17.0,486041.2537632123,1
77286.59209443795,0.0,51.0,0.0,16.0,0.0,476190.01278099517,11.0,48621.462816212326,0
31815.14516421323,27081.962615339573,56.0,4.0,12.0,1.0,895060.9345931011,7.0,202212.4714425956,1
61143.42943271628,28490.109565933806,29.0,4.0,15.0,6.0,415891.39982596796,5.0,119021.76181925678,0
116184.90931778314,0.0,74.0,1.0,3.0,7.0,205787.98580617664,17.0,160282.6639933968,1
56919.99697907314,27880.99606930435,62.0,2.0,3.0,6.0,327624.19880362763,27.0,485246.8467979888,0
102885.75028900307,0.0,21.0,0.0,0.0,7.0,291386.5950175553,27.0,136114.6805267713,1
56549.8855839341,63544.53960244562,46.0,2.0,2.0,5.0,234093.22411780801,16.0,317393.16146684735,0
23794.730530358724,50118.7641195313,69.0,3.0,3.0,7.0,138113.38298801362,29.0,424170.0750520446,1
59958.89522484809,50295.92690168559,64.0,3.0,5.0,7.0,104988.94492542699,12.0,33074.73105847736,0
75502.64335178159,0.0,71.0,1.0,15.0,3.0,750612.9893138391,22.0,80196.76815328203,1
68930.59017526565,37368.38770159286,60.0,0.0,13.0,3.0,608432.6830983472,24.0,262189.90553861,0
146195.08756018226,0.0,77.0,4.0,13.0,4.0,335049.81950435636,7.0,440948.25154841616,1
59052.47881060334,51212.542959645354,77.0,4.0,7.0,8.0,87191.87485124613,25.0,46947.23430158576,0
90052.90544136942,0.0,36.0,1.0,16.0,2.0,555853.6636682163,21.0,97011.40781476286,1
