feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
91345.75551055222,0.0,73.0,0.0,3.0,3.0,808351.0432704752,20.0,322947.0565333281,1
76886.33746415003,0.0,26.0,0.0,12.0,1.0,1033380.0304661316,24.0,239988.58618752865,0
117589.19835839931,0.0,55.0,4.0,10.0,4.0,567137.0289786675,7.0,51022.40537401404,1
100969.99242106703,0.0,56.0,2.0,16.0,3.0,581190.720988621,14.0,27857.346850803155,0
78650.69788772066,0.0,20.0,2.0,18.0,7.0,196178.70616723257,26.0,158991.589696988,1
30804.62404197831,30828.892096077434,60.0,3.0,2.0,3.0,688304.4841125333,23.0,144703.04647360055,0
57501.93681630873,42496.6046486533,28.0,3.0,8.0,2.0,797244.7533619191,4.0,476374.5057584925,1
75101.15631256337,0.0,79.0,3.0,6.0,5.0,486429.81249145727,8.0,145038.80360522203,0
53844.320586362606,50276.689103183475,63.0,0.0,11.0,8.0,85231.1661200533,23.0,499423.50328393327,1
93983.09601989713,0.0,55.0,1.0,9.0,7.0,190708.53653561376,27.0,25294.057527118606,0
43333.73391932124,22823.99490123486,54.0,0.0,8.0,1.0,1026915.3962415106,4.0,310739.20074988174,1
114915.86383718005,0.0,38.0,1.0,2.0,5.0,287499.7494947087,13.0,369775.3975246438,0
47934.49577757516,23984.36646170039,31.0,4.0,7.0,4.0,337454.4371547538,28.0,198029.85140364687,1
93504.77054160617,0.0,73.0,2.0,19.0,5.0,249933.2229960344,24.0,470215.9726264065,0
145051.72921113978,0.0,78.0,1.0,10.0,6.0,428858.79503765714,9.0,416519.0487546954,1
63960.66373878993,82117.76159061238,76.0,2.0,13.0,7.0,288275.5409412997,5.0,243079.78015559883,0
112111.2595026004,0.0,74.0,1.0,1.0,5.0,447150.67676700954,28.0,487129.3319286164,1
132100.2710555368,0.0,75.0,3.0,7.0,1.0,911578.0131189788,1.0,205246.06904722846,0
75669.09817513305,0.0,40.0,0.0,3.0,1.0,478275.58759522723,5.0,284605.38004681276,1
64668.71540925283,69165.45832895981,50.0,3.0,11.0,4.0,400915.4379637583,29.0,116117.07108547137,0
114515.75415247267,0.0,53.0,4.0,4.0,0.0,878829.4804948476,20.0,131059.07461983913,1
79298.27368406235,0.0,27.0,0.0,7.0,3.0,408690.5770421418,13.0,43188.49018532062,0
37350.47724557709,68439.39806885415,71.0,1.0,10.0,3.0,346173.86819197965,24.0,441354.6446964521,1
83493.30779225068,0.0,52.0,3.0,6.0,1.0,780231.5535268928,26.0,215201.2197540306,0
23518.968021034714,64854.800499987,60.0,0.0,10.0,7.0,146573.09421619598,14.0,295492.08266184246,1
131503.9437451621,0.0,58.0,3.0,18.0,7.0,272604.52333207,10.0,454421.8592063692,0
130374.9800957064,0.0,61.0,0.0,2.0,8.0,85536.88484719297,11.0,195887.15961697884,1
