feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
90834.81378959659,0.0,29.0,3.0,18.0,4.0,398767.30327223614,25.0,481831.38025051466,1
93845.7929422112,0.0,57.0,1.0,13.0,8.0,58712.92997015407,20.0,184120.76992027398,0
117589.19835839931,0.0,55.0,4.0,10.0,4.0,567137.0289786675,7.0,51022.40537401404,1
52927.908330171675,44973.30796422297,55.0,2.0,15.0,5.0,462531.8357861094,18.0,389172.7410129545,0
78650.69788772066,0.0,20.0,2.0,18.0,7.0,196178.70616723257,26.0,158991.589696988,1
75101.15631256337,0.0,79.0,3.0,6.0,5.0,486429.81249145727,8.0,145038.80360522203,0
58776.702374284,52747.36830259486,77.0,1.0,12.0,8.0,115210.3270001689,4.0,110631.34259189139,1
93983.09601989713,0.0,55.0,1.0,9.0,7.0,190708.53653561376,27.0,25294.057527118606,0
43333.73391932124,22823.99490123486,54.0,0.0,8.0,1.0,1026915.3962415106,4.0,310739.20074988174,1
99815.57427556648,0.0,55.0,2.0,17.0,1.0,649555.9963836815,30.0,106195.24944515429,0
89755.29744413389,0.0,63.0,1.0,9.0,0.0,860413.1608960805,17.0,131661.18836857533,1
60780.01102604386,81808.81417442152,42.0,3.0,19.0,7.0,184937.09375030125,14.0,323132.2186573424,0
145051.72921113978,0.0,78.0,1.0,10.0,6.0,428858.79503765714,9.0,416519.0487546954,1
86611.15022846748,0.0,55.0,1.0,7.0,4.0,419079.4759184228,29.0,227584.40759666864,0
75669.09817513305,0.0,40.0,0.0,3.0,1.0,478275.58759522723,5.0,284605.38004681276,1
66705.28421781113,39962.41827370676,26.0,1.0,15.0,3.0,495186.18309539784,19.0,362797.18210528936,0
30337.870736278248,16720.227567895403,59.0,0.0,4.0,3.0,751280.7125927602,4.0,430275.5869143969,1
27198.66165475573,32619.897586070685,29.0,1.0,7.0,8.0,78351.88465821666,8.0,413435.1841403207,0
37350.47724557709,68439.39806885415,71.0,1.0,10.0,3.0,346173.86819197965,24.0,441354.6446964521,1
81787.62744812008,0.0,77.0,2.0,13.0,4.0,518088.74735172594,28.0,324731.5148919675,0
71873.29182140325,77803.32946757184,35.0,2.0,19.0,6.0,364873.2522654056,30.0,318030.52772357065,1
144691.65839457893,0.0,26.0,1.0,6.0,5.0,580749.7907330944,8.0,431511.308330175,0
21564.708976695056,18661.322285406106,78.0,0.0,13.0,5.0,324027.05598757986,26.0,319380.87868326466,1
